attitude,hashtags,id,processed_text,raw,seed_topic,topic,manualAttitude
negative,,991988869859020800,xxusermentionsxx i have help if i have a xxtopicxx or live near you,@brc_mccracken I'd help if I had a car... or lived near you :(,Car,CarManufacturer,negative
negative,,994312165137010690,right off for a mope because wingman and i acronym rich environment without cool transport now that the jawa have go and the lomax await it replacement engine it be the xxtopicxx or walking for u though i can still ride to work,Right. Off for a mope because Wingman and I are without cool transport now that the Jawa has gone and the Lomax awaits its replacement engine. It's the car or walking for us :( (though I can still ride to work),Car,CarManufacturer,negative
negative,,992224069306273793,super depress about xxtopicxx situation hop i can get a loan for a new one,super depressed about car situation.. hoping i can get a loan for a newer one :(,Car,CarManufacturer,negative
negative,,992803592632438786,xxusermentionsxx xxusermentionsxx xxusermentionsxx yep should of be ban a long time ago unfortunately my truck will not run without it,"@carlymbarrett @Volkswagen @VWGroup Yep, should of been banned a long time ago. Unfortunately my truck won't run without it :(",Volkswagen,CarManufacturer,negative
negative,,990071143150379012,when you use all of your pocket chopstick so you try your xxtopicxx backpack and makeup bust a gut chopstick and they acronym rich environment all go too,"when you use all of your pocket chapstick so you try your car, backpack, and makeup bag chapstick and they're all gone too :(",Car,CarManufacturer,negative
negative,,991656824347742208,just call the mechanic and they tell me that my truck be not worth spend how much it would cost to fix it so i tell them not to do any work on it now i need to look for a used xxtopicxx that ’ s good on greeting and salutation and win ’ t kill me in the winter time man i be so fucked,"Just called the mechanic and they told me that my truck is not worth spending how much it would cost to fix it, so I told them not to do any work on it. Now I need to look for a used car that’s good on gas and won’t kill me in the winter time. Man I am so fucked :(",Car,CarManufacturer,negative
negative,,990393646523584513,to whoever stole my mac book out of my xxtopicxx last night you suck but i win ’ t get the cop involve or anything i just need it back please,"to whoever stole my macbook out of my car last night, you suck, but i won’t get the cops involved or anything, i just need it back pls :(",Car,CarManufacturer,negative
negative,,993558730724823040,xxusermentionsxx i ’ d let her but the xxtopicxx be new and lelou be a never end hair producer so she have to stay in the trunk,@Sal_Z21 I’d let her but the car is new and Lelou is a never ending hair producer so she has to stay in the trunk :(,Car,CarManufacturer,negative
negative,,995320553446821889,xxusermentionsxx finish i honestly can ’ t play too many rob lox game anymore even xxtopicxx simulator because i play on a year old mac and i can ’ t get another one,"@Simbuilder Finished, I honestly can’t play too many roblox games anymore even vehicle simulator because I play on a 10 year old mac and I can’t get another one. :(",Vehicle,CarManufacturer,negative
negative,,996553791737618432,xxusermentionsxx my xxtopicxx need octane look like horse and buggy this week,@KarlSKI4 My car needs 91 octane :(  looks like horse and buggy this week,Car,CarManufacturer,negative
negative,,993178911805620224,so me and my friend saw majlis pembandaran take down party flag everyone punya we stop our xxtopicxx to ask the encik encik if we can have one they say can not the party acronym rich environment ask for the flag back so Kala nak ken mintak bilik gerakan sad,So me and my friend saw majlis pembandaran taking down party flags (everyone punya). We stopped our car to ask the encik encik if we can have one. They said cannot the parties are asking for the flags back so kalau nak kena mintak bilik gerakan. Sad :(,Car,CarManufacturer,negative
negative,,993718649570635776,i just realize my xxtopicxx wild a guess where i have some bomb late night talk a ton of drpepper tea run some of the best laugh some of the bad tear be some of my favorite memory i ’ m go to miss jakey so much i want to cry so bad clean him out today,"I just realized my car was where I had some bomb late night talks, a ton of dr.pepper/ tea runs, some of the best laughs, some of the worst tears, &amp; some of my favorite memories. I’m going to miss Jakey so much :( I wanted to cry so bad cleaning him out today :(",Car,CarManufacturer,negative
negative,,992059358597955584,xxusermentionsxx oh i see thank you maybe it after the xxtopicxx accident,"@yoonglesbabe Oh i see thank you, maybe its after the car accident :(",Car,CarManufacturer,negative
negative,wtf,993127859773411328,for real i dot take the bus in Ottawa but when everybody start star at each other because they mean knowledge the driver mess up i meaning knowledge i miss my xxtopicxx xxusermentionsxx xxhashtagsxx,For real I dont take the bus in Ottawa but when everybody start staring at each other because they know the driver mess up I know ...I miss my car  :( @OCTranspoLive  #WTF,Car,CarManufacturer,negative
negative,,992469616399089664,xxusermentionsxx if i wild a guess not poor,@Dodge If I wasn't poor. :(,Dodge,CarManufacturer,negative
negative,,991493721710628864,please stop use me for my dick i have a heart ya mean knowledge like can we go on a d or something instead of just smoking and fucking in my xxtopicxx 😔,plz stop using me for my dick i have a heart 2 ya know !:( like can we go on a d8 or something instead of just smoking and fucking in my car ?😔,Car,CarManufacturer,negative
negative,,993446783933206528,xxusermentionsxx sit in a xxtopicxx on my way home from see family how about you,@Calfreezy sitting in a car on my way home from seeing family :( hbu?,Car,CarManufacturer,negative
negative,,995858158806491137,my day wild a guess go so good and i hit a xxtopicxx so sad,My day was going so good and I hit a car :((( so sad,Car,CarManufacturer,negative
negative,,991451942990725121,it ’ s sprinkling and i just get a xxtopicxx wash,it’s sprinkling and I just got a car wash :(,Car,CarManufacturer,negative
negative,,991328764004126720,yo i ’ m so sleep man i stay up till take a two hr nap now i ’ m at best buy bout to do my paperwork get ta get my haircut and wash my xxtopicxx,Yo I’m so sleep man I stayed up till 7 took a two hr nap now I’m at Best Buy bout to do my paperwork. Gotta get my haircut and wash my car :(,Car,CarManufacturer,negative
negative,,993516723306348544,stay sober on a bank holiday weekend and end up hang out your xxtopicxx window feel like an injustice,Staying sober on a bank holiday weekend and ending up hanging out your car window feels like an injustice :(,Car,CarManufacturer,negative
negative,,991947694515081216,i want my xxtopicxx back wait half an hour for a bus that should be every minute isn ’ t fun,I want my car back :( waiting half an hour for a bus that should be every 15 minutes isn’t fun,Car,CarManufacturer,negative
negative,,987815560284114945,xxusermentionsxx everyone in c xxtopicxx be talk about this storm i ’ m jel,@Jess_Hxxx Everyone in c ford be talking about this storm I’m jel :(,Ford,CarManufacturer,negative
negative,,992204981917728768,it ’ s a sad day when your xxtopicxx hit k mile,It’s a sad day when your car hits 100k miles :(,Car,CarManufacturer,negative
negative,,994993327824080896,i love xxtopicxx seat headrest will be not even fake deep he just sad and strange,i love car seat headrest :( will isn't even fake deep hes just sad and strange,Car,CarManufacturer,negative
negative,,996571166340014085,xxusermentionsxx i be in a xxtopicxx with Kevin and my friend and i be the only one that hear yanny,@Mike_Roberts_32 I'm in a car with Kevin and my friend and I'm the only one that hears yanny! :(,Car,CarManufacturer,negative
negative,,995026950551883776,there wild a guess a shit load of bee surround my xxtopicxx at star buck right now i could ’ t even get in,There was a shit load of bees surrounding my car at Starbucks right now :( I couldn’t even get in :/,Car,CarManufacturer,negative
negative,,992114606414888960,i stall my xxtopicxx at least time a day lot of love wish it wild a guess easy,"I stall my car at least 3 times a day lol, wish it was easy :(((",Car,CarManufacturer,negative
negative,,989833134580514816,i be actually excite i will have xxtopicxx tomorrow because i always feel like i do not have to worry about what i need to do in school or anything else while i be there and my coworker be super lovely and nice too,"I'm actually excited I'll have JEEP tomorrow because I always feel like I don't have to worry about what I need to do in school or anything else while I'm there, and my co-worker is super lovely and nice too :(((",Jeep,CarManufacturer,positive
negative,,996415309249642496,xxusermentionsxx i do nt i have never even see it myself because if i be visit i make three adult and they have to use the xxtopicxx instead of the bike,"@goawaybrian I don't. :( I've never even seen it myself, because if I'm visiting I make three adults and they have to use the car instead of the bike.",Car,CarManufacturer,negative
negative,,994662287007985664,i need to go wash my xxtopicxx but i keep watch shameless,I need to go wash my car but I keep watching shameless :(,Car,CarManufacturer,negative
negative,,989605060417146880,xxusermentionsxx i really hope they dot because xxtopicxx be a big thing the economy in my local area when we dot hav much else at the moment,@Elilarge I really hope they dont cos Nissan is a big thing 4 the economy in my local area when we dont hav much else atm :(,Nissan,CarManufacturer,negative
negative,,992967466652520448,i would like to thank my knight in shin armor for come to get my dumb as that wear the wrong size heel and rip a cut into both of my foot so i do not have to walk the painful eight block back to the xxtopicxx,I would like to thank my knight in shining armor for coming to get my dumb ass that wore the wrong size heels and ripped a cut into both of my feet so I didn't have to walk the painful eight blocks back to the car :((,Car,CarManufacturer,negative
negative,,994929685082537984,yep i just sorry about that in my xxtopicxx for minute outside of work because ya guy in real life do ’ t feel good ya guy in real life do ’ t wan na go,yep I just sat in my car for 10 minutes outside of work because 1) ya girl doesn’t feel good 2) ya girl doesn’t wanna go :(,Car,CarManufacturer,negative
negative,,991488379735945216,i would love to be able to go visit my aunt and my extended family but i do not have a xxtopicxx and most of them live about mile away from me in a different county,I would love to be able to go visit my aunt and my extended family but I don't have a car and most of them live about 45 miles away from me in a different county :(,Car,CarManufacturer,negative
negative,,990840732498866176,xxusermentionsxx xxusermentionsxx i wild a guess look at twitter during an ad break while watch it the other night and read that an American state make it legal for adoption agency to ban same sex couple from adopt the second season be even scary and more plausible,"@MagdaSzubanski @clementine_ford I was looking at Twitter during an ad break while watching it the other night, and read that an American state made it legal for adoption agencies to ban same sex couples from adopting. The second season is even scarier and more plausible :(",Ford,CarManufacturer,negative
negative,,992369047370129409,Chelsea stole my xxtopicxx,Chelsea stole my car :(,Car,CarManufacturer,negative
negative,,992495329076563968,my dad think my xxtopicxx be die,My dad thinks my car is dying :(,Car,CarManufacturer,negative
positive,,992000799441129472,god i be so annoyejdndnsnd my friend be gon na need my xxtopicxx again and i be gon na have to give it to her because otherwise she wont have a ride even though i have plan love that,god im so annoyejdndnsnd my friend is gonna need my car again and im gonna have to give it to her because otherwise she wont have a ride even though i have plans :) love that,Car,CarManufacturer,negative
positive,,992914335960793089,wear my flower crown make at the wonderful xxusermentionsxx brunch host by the gracious xxusermentionsxx i also get to meet xxusermentionsxx and have a great xxtopicxx ride there with my goddaughter and her mom xxusermentionsxx xxmediaxx,"Wearing my flower crown made at the wonderful @blessedisshe__ brunch hosted by the gracious @TeawithTolkien. I also got to meet @bayoucitygirl :) and had a great car ride there with my goddaughter and her mom, @sullibe. https://t.co/8tYhXRrXgZ",Car,CarManufacturer,positive
positive,,989573390301302789,xxusermentionsxx a the owner of a leaf xxtopicxx do not help i be happy with any automaker who produce and sell an ev but some folk pioneer the effort and champion the cause,"@BonaireVolt As the owner of a 2012 Leaf, Nissan didn't help :). I am happy with any automaker who produces and sells an EV. But some folks pioneered the effort, and championed the cause.",Nissan,CarManufacturer,negative
positive,,992637851736080384,xxusermentionsxx xxusermentionsxx xxusermentionsxx datum what a stunner you look absolutely stunning welcome to the group year owner here too,"@lexiheft @Tesla @elonmusk Dayum! What a stunner! You look absolutely stunning! Welcome to the group, 1 year owner here too :)",Tesla,CarManufacturer,positive
positive,,992532265044533248,xxusermentionsxx saw you at south bank today thanks for lenka and thanks for the cdfinally on my way to my xxtopicxx now will listen on my way home you be great,@Lucymaywalker Saw you at South Bank today. Thanks for Lenka :) and thanks for the CD....finally on my way to my car now. Will listen on my way home! You were great :),Car,CarManufacturer,positive
positive,,988155750672404480,xxusermentionsxx would love to see a performance variant of the xxtopicxx fusion not like the sport model but with rear weal drive jack up horsepower race slick and so on a dream yes achievable i think so what do you guy think,"@FordPerformance would love to see a Performance variant of the ford fusion, not like the sport model, but with rear weal drive, jacked up Horsepower, racing slicks and so on. A dream yes, achievable? I think so :) What do you guys think?",Ford,CarManufacturer,positive
positive,birthday lfc,989795615981924353,happy nd birthday to my little man first xxusermentionsxx top xxhashtagsxx xxhashtagsxx xxmediaxx,Happy 2nd birthday to my little man . First @LFC top :)#birthday #lfc https://t.co/OmgBAsRLVW,Ford,CarManufacturer,positive
positive,,993275195082395649,cool off in the xxtopicxx between game summer be go to kill me,Cooling off in the car between games. Summer is going to kill me :),Car,CarManufacturer,negative
positive,,987577315994546177,yoo what the freak so my dad just buy use no acronym guagua xxtopicxx,"Yooooo wtf, so my dad just bought una guagua BMW :)",BMW,CarManufacturer,positive
positive,,990782269655674880,xxusermentionsxx probably fragrances include tom xxtopicxx check it out,@mariabenya Probably fragrances including Tom Ford. Check it out :),Ford,CarManufacturer,positive
positive,,992024149395681280,xxusermentionsxx while you acronym rich environment here my suggestion be to put their namespics on your xxtopicxx pedal so you can vicariously stomp them while drive in my view it fulfill the same function a the curse psalm give one an outlet so they can walk in love and forgiveness,"@iSierraNichole While you're here, my suggestion is to put their names/pics on your car pedals so you can vicariously stomp them while driving. :) (In my view, it fulfills the same function as the cursing psalms: gives one an outlet, so they can walk in love and forgiveness!)",Car,CarManufacturer,positive
positive,,991782501336125440,xxusermentionsxx ah man nowhere near a fancy but for a midsized xxtopicxx i think they be alright if i wild a guess gon na do one i have buy a Taurus sho and swap all the mercury stuff on later,@SacredWraith Ah man... Nowhere near as fancy but for a mid-sized Ford I think they were alright!   If I was gonna' do one I'd buy a Taurus SHO and swap all the Mercury stuff on later. :P,Ford,CarManufacturer,positive
positive,loconayicar,993406170198032385,xxusermentionsxx xxhashtagsxx get this red beauty last week nayi xxtopicxx with the tape xxmediaxx,@GetLocoNow : #loconayicar Got this red beauty last week. Nayi car with the tape. :). https://t.co/WEw1AGgQQx,Car,CarManufacturer,positive
positive,,989953972625727489,xxusermentionsxx ha ha i look at a sensible replacement for about second go from the laid tt to the xxtopicxx tt order today,@StephenEHolt Ha ha.  I looked at a sensible replacement for about 2 seconds.  Going from the Aldi TT to the Audi TT :) Ordered today,Audi,CarManufacturer,positive
positive,,991286702718242816,xxusermentionsxx xxusermentionsxx it wild a guess awesome d game wild a guess finecity nice but people oh they break in our xxtopicxx gladly they dint steal anything,@TwitchActivater @Sammazing_ It was awesome :D Game was fine...city nice but people... Oh they broke in our car... gladly they didnt steal anything,Car,CarManufacturer,negative
positive,,991462186118799360,xxusermentionsxx xxusermentionsxx xxusermentionsxx bloom berg be model do work but always reflect a not so recent past it be always late somehow like xxtopicxx,"@BossHoggHazzard @TeslaCharts @skabooshka Bloomberg's model does work, but always reflects a not so recent past. It's always late, somehow like Tesla :)",Tesla,CarManufacturer,negative
positive,,990630665765904384,xxusermentionsxx everything with my xxtopicxx be pay for by work i understand basic about car and stuff but it be pretty ridiculous to assume everyone have free time to learn additional trade while do everything else basic stuff fine but pay to have a guarantee be worth it,"@aLtOiDyOdA Everything with my car is paid for by work :p I understand basics about cars and stuff but it's pretty ridiculous to assume everyone has free time to learn additional trades while doing everything else. Basic stuff, fine, but paying $100 to have a guarantee is worth it",Car,CarManufacturer,positive
positive,,989991198059184128,here i be look for my xxtopicxx thread d,/hehe i'm looking for my car threads. :D,Car,CarManufacturer,positive
positive,,993508084508233728,xxusermentionsxx when the new generation of x will be release and how about x too please,@BMW When the new generation of X5 will be released ? And how about X7 too ?  please :),BMW,CarManufacturer,positive
positive,indiebizhour,991379618878951425,xxusermentionsxx enjoy the extra warmth of may and the extra sunshine not lot of love although i do get the roof down on the xxtopicxx earlier so very happy xxhashtagsxx xxmediaxx,"@IndieBizHour Enjoying the extra warmth of May and the extra sunshine not lol, although I did get the roof down on the car earlier, so very happy :-)  #IndieBizHour https://t.co/L3b3EpYfk6",Car,CarManufacturer,positive
